brand,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,max_power,seats,selling_price
Maruti,9,120000.0,Individual,Petrol,Manual,19.7,46.3,5,120000
Hyundai,5,20000.0,Individual,Petrol,Manual,18.9,82.0,5,550000
Hyundai,11,60000.0,Individual,Petrol,Manual,17.0,80.0,5,215000
Maruti,9,37000.0,Individual,Petrol,Manual,20.92,67.1,5,226000
Ford,6,30000.0,Dealer,Diesel,Manual,22.77,98.59,5,570000
Maruti,8,35000.0,Individual,Petrol,Manual,18.9,67.1,5,350000
Hyundai,8,40000.0,Dealer,Petrol,Manual,20.36,78.9,5,315000
Maruti,3,17512.0,Dealer,Petrol,Manual,20.51,67.04,5,410000
Hyundai,2,20000.0,Individual,Petrol,Automatic,18.15,118.35,5,1050000
Maruti,4,28321.0,Dealer,Petrol,Manual,16.6,85.0,5,511000
Hyundai,8,65278.0,Dealer,Diesel,Manual,22.32,126.32,5,425000
Renault,5,50000.0,Individual,Diesel,Manual,19.64,108.45,5,750000
Mini,4,6000.0,Dealer,Petrol,Automatic,14.41,182.25,5,3250000
Maruti,5,76000.0,Dealer,Diesel,Manual,28.09,88.5,5,650000
Maruti,5,20000.0,Individual,Diesel,Manual,25.2,74.0,5,627000
Mercedes-Benz,7,65000.0,Dealer,Diesel,Automatic,19.27,170.0,5,1425000
Maruti,7,62200.0,Dealer,Diesel,Manual,28.4,74.0,5,425000
Toyota,8,110000.0,Individual,Diesel,Manual,12.99,100.6,8,605000
Maruti,6,20000.0,Individual,Petrol,Manual,21.4,83.1,5,600000
Maruti,5,40000.0,Individual,Petrol,Manual,20.85,83.14,5,575000
Volkswagen,8,47000.0,Dealer,Petrol,Manual,16.09,103.2,5,425000
Maruti,8,25000.0,Dealer,Petrol,Manual,20.92,67.1,5,230000
Hyundai,2,15000.0,Individual,Diesel,Manual,19.67,126.2,5,1225000
Honda,6,50000.0,Individual,Petrol,Manual,17.4,117.3,5,750000
Mahindra,10,25000.0,Individual,Diesel,Manual,13.6,63.0,7,350000
Maruti,6,90000.0,Individual,Diesel,Manual,26.59,74.0,5,600000
Maruti,8,45000.0,Dealer,Diesel,Manual,26.59,74.0,5,390000
Honda,14,77253.0,Dealer,Petrol,Manual,17.7,78.0,5,145000
Hyundai,3,25000.0,Individual,Petrol,Manual,17.19,81.86,5,700000
Toyota,8,110000.0,Individual,Diesel,Manual,13.0,168.5,7,1150000
Renault,4,30000.0,Individual,Petrol,Manual,23.01,67.0,5,340000
Honda,5,39993.0,Dealer,Petrol,Manual,18.6,88.76,5,465000
Hyundai,12,80000.0,Individual,Petrol,Manual,17.92,62.1,5,125000
Mahindra,9,130000.0,Individual,Diesel,Manual,15.1,140.0,7,600000
Maruti,8,90000.0,Individual,Diesel,Manual,23.4,74.0,5,380000
Hyundai,3,15000.0,Individual,Diesel,Manual,22.54,88.73,5,850000
Hyundai,3,40000.0,Individual,Petrol,Manual,18.6,81.83,5,598000
Honda,6,31180.0,Dealer,Petrol,Automatic,18.0,117.3,5,700000
